<<<<<<< HEAD
0;1;0;1
0;0;0;1
0;0;1;1
0;0;1;0
0;1;0;1
0;0;0;1
1;0;0;1
0;1;0;0
1;0;0;0
1;0;1;1
1;1;0;0
0;0;0;0
0;0;1;1
1;0;0;0
1;1;0;0
0;0;1;1
0;1;1;0
1;1;1;1
1;1;0;0
1;0;1;0
1;1;0;1
0;0;0;1
1;0;0;1
1;0;1;0
0;1;0;1
1;1;0;0
1;0;1;1
0;0;0;0
0;0;1;0
0;0;1;0
0;0;0;0
0;1;0;0
0;0;1;1
0;1;1;1
1;0;0;1
0;0;1;0
1;1;1;0
0;1;0;0
0;0;0;1
1;0;0;0
0;1;0;0
0;1;0;0
0;1;1;0
1;0;0;1
0;1;1;0
0;0;1;0
0;1;0;0
0;0;0;1
1;0;0;1
0;0;0;0
1;0;1;1
1;0;0;1
0;0;1;0
1;0;0;0
1;0;1;0
1;1;0;1
1;1;1;0
1;0;0;1
1;1;1;1
1;1;1;1
1;1;0;0
0;1;1;0
1;0;0;0
0;1;0;0
1;1;0;1
1;1;1;0
1;0;1;1
1;0;0;0
0;1;0;1
0;1;0;1
1;1;0;1
1;0;0;1
0;0;1;0
0;1;0;1
1;0;1;0
0;1;0;1
0;0;0;0
0;1;0;0
0;0;0;0
1;0;0;0
=======
0;0;1;1
1;1;1;1
0;1;1;1
1;0;1;1
0;0;0;0
0;1;1;1
1;0;1;1
0;0;1;0
1;1;1;0
0;0;0;0
0;0;1;0
1;0;0;1
0;1;1;0
1;1;1;1
0;1;0;0
1;0;1;0
0;0;0;0
1;0;0;0
0;1;1;0
1;1;0;1
0;0;1;1
0;1;1;0
1;1;1;1
1;1;0;1
0;0;1;1
0;1;1;0
0;0;1;1
0;1;1;1
1;1;1;1
0;0;0;0
0;0;0;1
0;1;1;1
1;1;0;0
1;1;1;0
1;1;1;0
0;1;0;1
0;1;1;1
0;0;1;0
1;1;0;0
1;1;0;1
1;1;1;1
0;1;1;0
1;0;1;1
1;1;0;1
0;1;0;1
1;0;1;1
0;0;1;0
0;1;1;0
0;0;0;1
1;0;0;0
0;1;1;0
0;0;1;0
0;1;1;1
1;0;0;1
1;1;0;1
0;1;0;0
0;0;1;1
1;1;0;1
0;1;1;0
1;1;0;0
0;1;0;0
1;1;0;1
1;1;0;1
0;0;0;0
1;1;1;0
0;0;1;0
1;1;1;1
1;0;0;1
1;0;0;0
1;1;0;1
1;0;1;1
1;1;1;0
1;1;1;0
0;0;0;1
0;0;1;1
1;0;1;0
1;0;1;0
0;1;0;1
0;1;0;0
0;0;0;0
>>>>>>> a7bdb0df9ccc77f2bce3c26b4c82c519d8d44b89
